postcode,avg_download_speed,max_download_speed,town,county
CA12 5AE,50.1,79.7,Allerdale,Cumberland
CA12 5AG,39.1,80,Allerdale,Cumberland
CA12 5AH,34.7,80,Allerdale,Cumberland
CA12 5AJ,30.5,76.9,Allerdale,Cumberland
CA12 5AL,38.5,77.8,Allerdale,Cumberland
CA12 5AP,28.9,61.6,Allerdale,Cumberland
CA12 5AQ,45.1,80,Allerdale,Cumberland
CA12 5AS,37.2,80,Allerdale,Cumberland
CA12 5AW,25.6,39.8,Allerdale,Cumberland
CA12 5AX,27.6,79.9,Allerdale,Cumberland
CA12 5AZ,18.6,20.4,Allerdale,Cumberland
CA12 5BB,44.9,80,Allerdale,Cumberland
CA12 5BH,26.3,40,Allerdale,Cumberland
CA12 5BJ,52.7,79.9,Allerdale,Cumberland
CA12 5BL,35.6,80,Allerdale,Cumberland
CA12 5BS,23.6,79.7,Allerdale,Cumberland
CA12 5BU,18.8,21.9,Allerdale,Cumberland
CA12 5BW,35.6,79.9,Allerdale,Cumberland
CA12 5BX,27.2,74.9,Allerdale,Cumberland
CA12 5BY,20,20,Allerdale,Cumberland
CA12 5BZ,28.7,40,Allerdale,Cumberland
CA12 5DD,36.6,79.9,Allerdale,Cumberland
CA12 5DE,15.9,20.5,Allerdale,Cumberland
CA12 5DH,34.1,40,Allerdale,Cumberland
CA12 5DJ,19.1,40,Allerdale,Cumberland
CA12 5DP,17.9,30.9,Allerdale,Cumberland
CA12 5DQ,27.8,64.1,Allerdale,Cumberland
CA12 5DR,21,79.9,Allerdale,Cumberland
CA12 5DS,19.5,40,Allerdale,Cumberland
CA12 5DT,42.1,80,Allerdale,Cumberland
CA12 5DW,32,79.9,Allerdale,Cumberland
CA12 5DX,16.1,16.3,Allerdale,Cumberland
CA12 5DZ,29.9,80,Allerdale,Cumberland
CA12 5ED,29.9,79.9,Allerdale,Cumberland
CA12 5EE,21.8,40,Allerdale,Cumberland
CA12 5EH,26.3,79.9,Allerdale,Cumberland
CA12 5EJ,34.7,79.7,Allerdale,Cumberland
CA12 5EL,28.1,79.9,Allerdale,Cumberland
CA12 5EQ,33.7,80,Allerdale,Cumberland
CA12 5ER,37,63.7,Allerdale,Cumberland
CA12 5ES,32.1,54.9,Allerdale,Cumberland
CA12 5EU,23.3,74.8,Allerdale,Cumberland
CA12 5EX,18.1,19.3,Allerdale,Cumberland
CA12 5EY,28,67.8,Allerdale,Cumberland
CA12 5EZ,29.2,58.5,Allerdale,Cumberland
CA12 5HA,26.6,48.7,Allerdale,Cumberland
CA12 5HB,47.4,80,Allerdale,Cumberland
CA12 5HE,16.2,16.2,Allerdale,Cumberland
CA12 5HF,47.3,79.9,Allerdale,Cumberland
CA12 5HH,29.5,79.9,Allerdale,Cumberland
CA12 5HJ,50.2,76.6,Allerdale,Cumberland
CA12 5HP,20.5,26,Allerdale,Cumberland
CA12 5HQ,28.6,55,Allerdale,Cumberland
CA12 5HW,30.8,79.6,Allerdale,Cumberland
CA12 5JB,41.1,79.9,Allerdale,Cumberland
CA12 5JD,23,80,Allerdale,Cumberland
CA12 5JU,38.7,80,Allerdale,Cumberland
CA12 5JW,19.7,20.3,Allerdale,Cumberland
CA12 5JX,25.8,79.9,Allerdale,Cumberland
CA12 5JY,21.1,40,Allerdale,Cumberland
CA12 5LE,20.5,40,Allerdale,Cumberland
CA12 5LF,28.1,79.9,Allerdale,Cumberland
CA12 5LG,41.6,80,Allerdale,Cumberland
CA12 5LL,34.5,79.9,Allerdale,Cumberland
CA12 5LP,49,80,Allerdale,Cumberland
CA12 5LW,21.1,22.3,Allerdale,Cumberland
CA12 5LY,15.5,18,Allerdale,Cumberland
CA12 5LZ,36.5,79.9,Allerdale,Cumberland
CA12 5NA,24.2,79.9,Allerdale,Cumberland
CA12 5NB,14.4,21.2,Allerdale,Cumberland
CA12 5NF,27.6,79.9,Allerdale,Cumberland
CA12 5NH,34.6,70.7,Allerdale,Cumberland
CA12 5NN,22,76.3,Allerdale,Cumberland
CA12 5NR,28.5,62.3,Allerdale,Cumberland
CA12 5NS,43.4,80,Allerdale,Cumberland
CA12 5NT,38.3,79.9,Allerdale,Cumberland
CA12 5NY,28.5,80,Allerdale,Cumberland
CA12 5NZ,28.3,79.7,Allerdale,Cumberland
CA12 5PB,38.4,79.9,Allerdale,Cumberland
CA12 5PD,15.2,19.3,Allerdale,Cumberland
CA12 5PE,31.4,79.9,Allerdale,Cumberland
CA12 5PF,39.1,76.6,Allerdale,Cumberland
CA12 5PG,40.4,80,Allerdale,Cumberland
CA12 5PJ,28.7,40,Allerdale,Cumberland
CA12 5PN,17.2,63,Allerdale,Cumberland
CA12 5PP,29.2,74.5,Allerdale,Cumberland
CA12 5PZ,26.5,52.6,Allerdale,Cumberland
CA12 5QB,17.9,51.8,Allerdale,Cumberland
CA12 5QE,33.3,80,Allerdale,Cumberland
CA12 5QF,21.5,59.9,Allerdale,Cumberland
CA12 5QQ,29.2,80,Allerdale,Cumberland
CA12 5RB,44,76.5,Allerdale,Cumberland
CA12 5RD,38.1,80,Allerdale,Cumberland
CA12 5RF,32.6,79.9,Allerdale,Cumberland
CA12 5RG,10,15.3,Allerdale,Cumberland
CA12 5RH,23.7,60,Allerdale,Cumberland
CA12 5RJ,45.8,75.9,Allerdale,Cumberland
