county,town,year,month_num,crime_type,crime_count,population,crime_rate_per_10k
Cheshire,Cheshire West and Chester,2024,12,Robbery,18,1000000,0.18
Cheshire,Cheshire West and Chester,2024,12,Vehicle crime,41,1000000,0.41000000000000003
Cheshire,Cheshire West and Chester,2025,1,Drugs,62,1000000,0.62
Cheshire,Cheshire West and Chester,2025,1,Robbery,9,1000000,0.09
Cheshire,Cheshire West and Chester,2025,1,Vehicle crime,39,1000000,0.39
Cheshire,Cheshire West and Chester,2025,2,Drugs,41,1000000,0.41000000000000003
Cheshire,Cheshire West and Chester,2025,2,Robbery,4,1000000,0.04
Cheshire,Cheshire West and Chester,2025,2,Vehicle crime,28,1000000,0.27999999999999997
Cheshire,Cheshire West and Chester,2025,3,Drugs,88,1000000,0.88
Cheshire,Cheshire West and Chester,2025,3,Robbery,9,1000000,0.09
Cheshire,Cheshire West and Chester,2025,3,Vehicle crime,30,1000000,0.3
Cheshire,Cheshire West and Chester,2025,4,Drugs,70,1000000,0.7
Cheshire,Cheshire West and Chester,2025,4,Robbery,15,1000000,0.15
Cheshire,Cheshire West and Chester,2025,4,Vehicle crime,26,1000000,0.26
Cheshire,Cheshire West and Chester,2025,5,Drugs,75,1000000,0.7499999999999999
Cheshire,Cheshire West and Chester,2025,5,Robbery,4,1000000,0.04
Cheshire,Cheshire West and Chester,2025,5,Vehicle crime,40,1000000,0.4
Cheshire,Cheshire West and Chester,2025,6,Drugs,74,1000000,0.74
Cheshire,Cheshire West and Chester,2025,6,Robbery,17,1000000,0.17
Cheshire,Cheshire West and Chester,2025,6,Vehicle crime,55,1000000,0.55
Cheshire,Cheshire West and Chester,2025,7,Drugs,93,1000000,0.9299999999999999
Cheshire,Cheshire West and Chester,2025,7,Robbery,20,1000000,0.2
Cheshire,Cheshire West and Chester,2025,7,Vehicle crime,58,1000000,0.58
Cheshire,Cheshire West and Chester,2025,8,Drugs,61,1000000,0.61
Cheshire,Cheshire West and Chester,2025,8,Robbery,15,1000000,0.15
Cheshire,Cheshire West and Chester,2025,8,Vehicle crime,26,1000000,0.26
Cheshire,Cheshire West and Chester,2025,9,Drugs,86,1000000,0.86
Cheshire,Cheshire West and Chester,2025,9,Robbery,6,1000000,0.060000000000000005
Cheshire,Cheshire West and Chester,2025,9,Vehicle crime,34,1000000,0.34
Cheshire,Cheshire West and Chester,2025,10,Drugs,75,1000000,0.7499999999999999
Cheshire,Cheshire West and Chester,2025,10,Robbery,6,1000000,0.060000000000000005
Cheshire,Cheshire West and Chester,2025,10,Vehicle crime,61,1000000,0.61
Cheshire,Cheshire West and Chester,2025,11,Drugs,92,1000000,0.92
Cheshire,Cheshire West and Chester,2025,11,Robbery,7,1000000,0.06999999999999999
Cheshire,Cheshire West and Chester,2025,11,Vehicle crime,49,1000000,0.49
Cheshire,Flintshire,2023,4,Drugs,1,1000000,0.01
Cheshire,Flintshire,2023,6,Drugs,1,1000000,0.01
Cheshire,Halton,2022,12,Drugs,41,1000000,0.41000000000000003
Cheshire,Halton,2022,12,Robbery,5,1000000,0.05
Cheshire,Halton,2022,12,Vehicle crime,37,1000000,0.37
Cheshire,Halton,2023,1,Drugs,88,1000000,0.88
Cheshire,Halton,2023,1,Robbery,6,1000000,0.060000000000000005
Cheshire,Halton,2023,1,Vehicle crime,50,1000000,0.5
Cheshire,Halton,2023,2,Drugs,65,1000000,0.6499999999999999
Cheshire,Halton,2023,2,Robbery,3,1000000,0.030000000000000002
Cheshire,Halton,2023,2,Vehicle crime,33,1000000,0.33
Cheshire,Halton,2023,3,Drugs,67,1000000,0.67
Cheshire,Halton,2023,3,Robbery,2,1000000,0.02
Cheshire,Halton,2023,3,Vehicle crime,32,1000000,0.32
Cheshire,Halton,2023,4,Drugs,86,1000000,0.86
Cheshire,Halton,2023,4,Robbery,12,1000000,0.12000000000000001
Cheshire,Halton,2023,4,Vehicle crime,43,1000000,0.43
Cheshire,Halton,2023,5,Drugs,73,1000000,0.73
Cheshire,Halton,2023,5,Robbery,6,1000000,0.060000000000000005
Cheshire,Halton,2023,5,Vehicle crime,18,1000000,0.18
Cheshire,Halton,2023,6,Drugs,60,1000000,0.6
Cheshire,Halton,2023,6,Robbery,5,1000000,0.05
Cheshire,Halton,2023,6,Vehicle crime,30,1000000,0.3
Cheshire,Halton,2023,7,Drugs,46,1000000,0.46
Cheshire,Halton,2023,7,Robbery,11,1000000,0.11
Cheshire,Halton,2023,7,Vehicle crime,34,1000000,0.34
Cheshire,Halton,2023,8,Drugs,46,1000000,0.46
Cheshire,Halton,2023,8,Robbery,5,1000000,0.05
Cheshire,Halton,2023,8,Vehicle crime,33,1000000,0.33
Cheshire,Halton,2023,9,Drugs,69,1000000,0.69
Cheshire,Halton,2023,9,Robbery,3,1000000,0.030000000000000002
Cheshire,Halton,2023,9,Vehicle crime,39,1000000,0.39
Cheshire,Halton,2023,10,Drugs,55,1000000,0.55
Cheshire,Halton,2023,10,Robbery,5,1000000,0.05
Cheshire,Halton,2023,10,Vehicle crime,39,1000000,0.39
Cheshire,Halton,2023,11,Drugs,57,1000000,0.5700000000000001
Cheshire,Halton,2023,11,Robbery,9,1000000,0.09
Cheshire,Halton,2023,11,Vehicle crime,38,1000000,0.38
Cheshire,Halton,2023,12,Drugs,50,1000000,0.5
Cheshire,Halton,2023,12,Robbery,8,1000000,0.08
Cheshire,Halton,2023,12,Vehicle crime,37,1000000,0.37
Cheshire,Halton,2024,1,Drugs,69,1000000,0.69
Cheshire,Halton,2024,1,Robbery,10,1000000,0.1
Cheshire,Halton,2024,1,Vehicle crime,44,1000000,0.44
Cheshire,Halton,2024,2,Drugs,48,1000000,0.48000000000000004
Cheshire,Halton,2024,2,Robbery,8,1000000,0.08
Cheshire,Halton,2024,2,Vehicle crime,32,1000000,0.32
Cheshire,Halton,2024,3,Drugs,47,1000000,0.47
Cheshire,Halton,2024,3,Robbery,2,1000000,0.02
Cheshire,Halton,2024,3,Vehicle crime,21,1000000,0.21
Cheshire,Halton,2024,4,Drugs,56,1000000,0.5599999999999999
Cheshire,Halton,2024,4,Robbery,7,1000000,0.06999999999999999
Cheshire,Halton,2024,4,Vehicle crime,31,1000000,0.31
Cheshire,Halton,2024,5,Drugs,52,1000000,0.52
Cheshire,Halton,2024,5,Robbery,13,1000000,0.13
Cheshire,Halton,2024,5,Vehicle crime,28,1000000,0.27999999999999997
Cheshire,Halton,2024,6,Drugs,60,1000000,0.6
Cheshire,Halton,2024,6,Robbery,4,1000000,0.04
Cheshire,Halton,2024,6,Vehicle crime,27,1000000,0.26999999999999996
Cheshire,Halton,2024,7,Drugs,42,1000000,0.42
Cheshire,Halton,2024,7,Robbery,14,1000000,0.13999999999999999
Cheshire,Halton,2024,7,Vehicle crime,21,1000000,0.21
Cheshire,Halton,2024,8,Drugs,75,1000000,0.7499999999999999
Cheshire,Halton,2024,8,Robbery,10,1000000,0.1
Cheshire,Halton,2024,8,Vehicle crime,34,1000000,0.34
Cheshire,Halton,2024,9,Drugs,54,1000000,0.5399999999999999
Cheshire,Halton,2024,9,Robbery,6,1000000,0.060000000000000005
Cheshire,Halton,2024,9,Vehicle crime,39,1000000,0.39
Cheshire,Halton,2024,10,Drugs,52,1000000,0.52
Cheshire,Halton,2024,10,Robbery,8,1000000,0.08
Cheshire,Halton,2024,10,Vehicle crime,38,1000000,0.38
Cheshire,Halton,2024,11,Drugs,56,1000000,0.5599999999999999
Cheshire,Halton,2024,11,Robbery,7,1000000,0.06999999999999999
