county,town,year,avg_house_price,median_house_price,max_house_price,min_house_price,n_transactions
Cumberland,Cleator Moor,2023,159318.28070175438,124000,469000,2000,114
Cumberland,Cleator Moor,2024,161526.58227848102,115000,523000,28000,79
Cumberland,Cockermouth,2022,279206.4675,240000,2600000,2000,400
Cumberland,Cockermouth,2023,264676.1523809524,240000,900000,20000,315
Cumberland,Cockermouth,2024,289864.7539432177,250000,1800000,5000,317
Cumberland,Coniston,2022,478285.71428571426,400000,1350000,110000,7
Cumberland,Coniston,2023,250000,250000,250000,250000,1
Cumberland,Dalton-In-Furness,2022,171871.9401197605,150000,550000,57000,167
Cumberland,Dalton-In-Furness,2023,155017.70833333334,140000,295000,61750,24
Cumberland,Egremont,2022,156573.26241134753,124950,540000,4830,141
Cumberland,Egremont,2023,148524.23076923078,110000,840000,8000,117
Cumberland,Egremont,2024,158078.2962962963,120000,570000,15000,135
Cumberland,Frizington,2022,207987.72413793104,145000,1012532,7000,87
Cumberland,Frizington,2023,164221.70454545456,116000,544367,33500,88
Cumberland,Frizington,2024,191148.02631578947,132500,1250000,20000,76
Cumberland,Grange-Over-Sands,2022,315139.91397849465,278500,1365000,50000,186
Cumberland,Grange-Over-Sands,2023,315519.23076923075,293500,591500,110000,26
Cumberland,Gretna,2022,448500,448500,448500,448500,1
Cumberland,Holmrook,2022,380623.0625,207500,1974818,126000,16
Cumberland,Holmrook,2023,375153.8461538461,312000,820000,35000,13
Cumberland,Holmrook,2024,420250,430000,895000,15000,12
Cumberland,Kendal,2022,327176.4881656805,250000,13747819,5000,676
Cumberland,Kendal,2023,312924.2987012987,266750,1195000,70000,77
Cumberland,Keswick,2022,452244.1955307263,400000,1475000,500,179
Cumberland,Keswick,2023,463928.81395348837,375000,5050000,10000,129
Cumberland,Keswick,2024,515829.61744966445,425000,3149995,45000,149
Cumberland,Kirkby Stephen,2022,280954.44444444444,250000,875000,96500,90
Cumberland,Kirkby Stephen,2023,170800,151500,282500,100000,5
Cumberland,Kirkby-In-Furness,2022,280525.2631578947,245000,700000,125000,19
Cumberland,Kirkby-In-Furness,2023,263500,250000,416500,124000,3
Cumberland,Maryport,2022,146123.9094488189,130250,450000,31000,254
Cumberland,Maryport,2023,150998.38589211617,135000,525000,1000,241
Cumberland,Maryport,2024,149370.57575757575,132000,556820,3500,297
Cumberland,Millom,2022,153408.14935064936,116500,995000,5000,154
Cumberland,Millom,2023,139882.55681818182,111000,587630,5500,176
Cumberland,Millom,2024,142922.88125,116250,1500000,34000,160
Cumberland,Milnthorpe,2022,375224.64285714284,317500,1125000,130000,70
Cumberland,Milnthorpe,2023,542750,477500,875000,341000,4
Cumberland,Moor Row,2022,117812.06896551725,88500,375000,50000,29
Cumberland,Moor Row,2023,84346.15384615384,85000,165000,41000,13
Cumberland,Moor Row,2024,132617.64705882352,92000,295000,49000,17
Cumberland,Newcastleton,2022,372500,372500,458000,287000,2
Cumberland,Newcastleton,2023,344795,344795,344795,344795,1
Cumberland,Penrith,2022,308244.84393939393,249475,3979998,15000,660
Cumberland,Penrith,2023,295811.4520547945,265000,1125000,95000,73
Cumberland,Ravenglass,2022,337500,337500,560000,115000,2
Cumberland,Ravenglass,2023,227650,223000,299950,160000,3
Cumberland,Ravenglass,2024,258531.25,270500,315000,178125,4
Cumberland,Seascale,2022,224823.67105263157,192500,1200000,1000,76
Cumberland,Seascale,2023,225593.8596491228,170000,1075000,25000,57
Cumberland,Seascale,2024,246679.34375,190000,1585000,65000,64
Cumberland,Sedbergh,2022,370863.68333333335,301000,1020000,65000,60
Cumberland,Sedbergh,2023,476411.1111111111,320000,1435000,171000,9
Cumberland,St Bees,2022,264370.8064516129,250000,430000,103000,31
Cumberland,St Bees,2023,241055.57692307694,228000,495000,103000,26
Cumberland,St Bees,2024,266724.24242424243,240000,500000,23000,33
Cumberland,Ulverston,2022,328746.4638554217,250000,6275000,7000,332
Cumberland,Ulverston,2023,267398.94736842107,224500,595500,95000,38
Cumberland,Whitehaven,2022,170848.36316695352,140000,4800000,9500,581
Cumberland,Whitehaven,2023,161113.63677130046,136000,2500000,2500,446
Cumberland,Whitehaven,2024,176243.30855018587,155750,1865000,3600,538
Cumberland,Wigton,2022,242057.76962025315,190000,2480000,22000,395
Cumberland,Wigton,2023,244002.82043343654,200000,1793300,34000,323
Cumberland,Wigton,2024,219898.442516269,197500,3500000,1000,461
Cumberland,Windermere,2022,542042.6479591837,441250,3025000,50000,196
Cumberland,Windermere,2023,423633.3333333333,286000,1345000,114000,15
Cumberland,Workington,2022,174347.38157894736,135000,3247632,2500,684
Cumberland,Workington,2023,172741.3172932331,148000,1170000,5000,665
Cumberland,Workington,2024,224984.14389534883,142500,9150000,2000,688
